id,video_name,title,role,scene,age,gender,accent,mood,speed,sample_text
282,282_戏曲念白——梨园男声,戏曲念白——梨园男声,京剧老生,戏曲配音、传统文化纪录片,40–60岁,男,普通话+戏曲念白风格，有梨园韵律,铿锵、有板有眼、国粹感,中速，音量中高，念白有韵律节奏,"（戏曲念白）""我本是卧龙岗散淡的人，凭阴阳如反掌保定乾坤。""——诸葛亮这一段《空城计》，唱的是什么？是明知道城中无兵，却要以一人之气度退百万之师。琴弦一拨，城门大开，他在城头焚香抚琴。司马懿看了半天——退兵了。这出戏告诉我们——有时候最强的武器不是刀枪，是胆识。京剧之美，不在脸上的油彩，在心中的乾坤。"
283,283_气泡音/烟嗓——慵懒男声,气泡音/烟嗓——慵懒男声,爵士酒吧歌手,音乐电台、酒吧氛围配音,30–45岁,男,普通话，气泡音/烟嗓质感,慵懒、暧昧、有深夜感,慢速，音量偏低，有磨砂质感,午夜十二点。吧台的灯只开了一盏，橙色的，刚好够照到酒杯。我坐在角落里，手里是一杯没怎么动过的Old Fashioned。音箱里在放Chet Baker，小号的声音懒洋洋的，像一个不想醒来的梦。这种时候不需要说话，不需要社交。只需要一个低低的音符，一杯微温的酒，和一个没有人打扰的角落。夜晚的美在于——你终于可以不用假装了。
284,284_腹语——双重声,腹语——双重声,腹语表演者,综艺节目、儿童节目,30–45岁,男,普通话，同时操控两种声音,主声自然，偶声可爱/尖锐,两种声音交替，节奏配合,"""大家好，我是小明和他的好朋友玩偶阿呆！""——（偶声）""大家好！我是阿呆！""——""阿呆你今天怎么不开心呀？""——（偶声）""因为我发现小明偷偷吃了我的巧克力！""——""那是你的巧克力吗？上面又没写名字！""——（偶声）""上面画了一颗心！那就是我的！""——""好吧好吧，下次我请你吃两块行不行？""——（偶声）""三块！""——""成交。你看，阿呆永远比我精明。"""
285,285_多语种切换——国际范女声,多语种切换——国际范女声,多语种主持人,国际会议、多语种节目,28–38岁,女,中英法日多语种无缝切换,自信、国际范、游刃有余,中速，各语种发音标准,"各位来宾，欢迎来到今天的国际文化交流论坛。Ladies and gentlemen, welcome to our forum today. Bienvenue à notre forum. 今日はフォーラムへようこそ。今天的议题是""数字时代的文化多样性""。在全球化与数字化并行的今天，如何保持每种文化的独特性，同时促进跨文化的理解与尊重，是我们共同面对的课题。让我们开始今天的讨论。"
286,286_方言快速切换——语言天才男声,方言快速切换——语言天才男声,语言模仿达人,综艺节目、短视频,25–35岁,男,多地方言快速切换,幽默、灵活、炫技感,中速偏快，每种方言切换时变化明显,"同样一句话""你好，请问洗手间在哪""，用不同方言说是什么效果？北京话：""劳驾，厕所在哪儿？""上海话：""请问呐，洗手间勒啥地方？""四川话：""兄弟，茅房在哪儿喃？""东北话：""哥们儿，厕所在哪旮瘩？""广东话：""唔该，洗手间喺边度？""陕西话：""乡党，茅子在哪哒？""闽南语：""请问，厕所咧？""——你看，全中国十四亿人，洗手间的需求是一样的。语言不同，但""急""是一样的。"
287,287_老唱片质感——复古男声,老唱片质感——复古男声,民国时期广播歌手,复古短视频、民国题材,30–40岁,男,民国国语风格，有老唱片的沙沙声感,怀旧、浪漫、有时代感,中速偏慢，音量中等，有黑胶唱片的质感,夜上海，夜上海，你是个不夜城。——在那个年代，百乐门的霓虹灯能照半条南京路。穿着旗袍的小姐们踩着高跟鞋走进舞厅，乐队在台上吹着萨克斯风，烟雾缭绕间，歌声低回。那是一个纸醉金迷的时代，也是一个风雨飘摇的时代。可那些歌留下来了——几十年后，当旋律响起的时候，你依然能看到那个夜晚的上海，灯红酒绿，美人如画。
288,288_同声传译——极速女声,同声传译——极速女声,同声传译员,国际会议模拟、翻译纪录片,28–40岁,女,中英双语，无缝切换,高度专注、精准、不带个人情感,快速，音量适中，紧跟源语速度,"[英文源语] ""The global economy is facing unprecedented challenges..."" [中文同传] ""全球经济正面临前所未有的挑战……"" [英文] ""Climate change, geopolitical tensions, and technological disruption are reshaping the landscape."" [中文] ""气候变化、地缘政治紧张和技术颠覆正在重塑全球经济格局。"" [英文] ""We need international cooperation now more than ever."" [中文] ""我们比以往任何时候都更需要国际合作。"" ——同声传译就是这样的工作，你的大脑在两种语言之间高速运转，翻译和倾听同时进行，容不得一秒钟走神。"
289,289_手语翻译配合语音——同步女声,手语翻译配合语音——同步女声,手语翻译员,无障碍公共服务、新闻节目,28–40岁,女,普通话，清晰均匀,专业、清晰、无障碍,中速，音量适中，吐字极其清晰（方便唇读）,各位观众朋友，以下新闻内容将同步提供手语翻译。今天的新闻要点如下：第一，全国两会将于明天在北京召开。第二，交通运输部发布数据，今年春运期间全国旅客发送量预计达到九十亿人次。第三，今年秋季起，多地将试行中小学课后延时服务至下午六点。以上就是今天的主要新闻，感谢收看。
290,290_相声捧哏——接话男声,相声捧哏——接话男声,相声捧哏,相声、喜剧配音,30–45岁,男,普通话/北京话，有曲艺节奏,配合、衬托、偶尔犀利,比逗哏稍慢半拍，音量适中，接话节奏精准,"[逗哏] ""我跟你说，我小时候学习特别好。"" [捧哏] ""是吗？"" [逗哏] ""每次考试都是第一名。"" [捧哏] ""哎哟，了不起。"" [逗哏] ""倒数的。"" [捧哏] ""嗐！那有什么好说的！"" [逗哏] ""倒数第一也是第一嘛。"" [捧哏] ""你这逻辑也是没谁了。"" [逗哏] ""我这叫逆向思维。"" [捧哏] ""你这叫不讲理。""——捧哏的活儿就是这个，看似不起眼，其实是给逗哏搭梯子的。没有好捧哏，逗哏再好也翻不出花来。"
291,291_默片时代解说——夸张男声,默片时代解说——夸张男声,默片时代现场解说员,复古短片、致敬默片时代,30–45岁,男,民国国语风格，语气夸张戏剧化,夸张、戏剧化、有无声电影的表演感,变化极大，惊恐时极快极响，柔情时极慢极柔,啊！英雄被坏人逼到了悬崖边！无路可退！他回头一看——脚下是万丈深渊！前有恶徒，后有绝境！他该怎么办？！——他纵身一跃！天哪！他跳了！……等等！他抓住了一根藤蔓！他还在！他在攀爬！一步一步地——终于翻上了崖顶！坏人们目瞪口呆！英雄站起来了！拍了拍身上的土——转身一拳！打倒了三个！——掌声在哪里？！这就是我们的英雄！
292,292_儿歌演唱——甜嫩童声,儿歌演唱——甜嫩童声,幼儿园小朋友,儿歌、儿童节目,4–6岁,女,普通话，奶声奶气，偶有跑调,天真、快乐、无忧无虑,中速，音量中等，唱歌时音准不稳但很可爱,小星星——亮——晶晶——满——天——都——是——小——星——星。挂在——天上——放——光明——好——像——许多——小——眼——睛。嘿嘿，妈妈你听到了吗？我今天学了新歌！老师说我唱得——（停顿想了想）——还行！我明天还要唱给奶奶听。奶奶最喜欢听我唱歌了。妈妈，你明天能来幼儿园看我表演吗？我站在第一排哦！
293,293_体育教练——严厉激励男声,体育教练——严厉激励男声,体校教练,体育训练纪实、励志内容,40–55岁,男,普通话，严厉中有关爱,严厉、激励、恨铁不成钢,中速偏快，音量中高，喊口令时穿透力强,最后两圈！给我咬住！你是来训练的不是来散步的！——腿抬起来！摆臂！呼吸节奏不要乱！你以为冠军是怎么练出来的？是在你最累、最想放弃的时候，再多跑一步。我带过的孩子里，有拿奥运金牌的，也有中途放弃的。区别在哪？不在天赋，在意志。——到了！好，今天的成绩比昨天快了0.3秒。别高兴太早，0.3秒在赛场上什么都不是。明天继续。去拉伸吧。
294,294_茶馆说书人——市井男声,茶馆说书人——市井男声,老茶馆说书先生,市井文化短片、曲艺节目,50–65岁,男,普通话/方言混搭，有市井气,生动、有趣、有说书人的表演感,快慢交替，音量起伏大，精彩处放慢加重,"哎，各位茶客，今天咱们不讲三国了。讲个新鲜的——""包公审驴""。话说开封府有一个人叫张三，他养了一头驴。有一天，这头驴——丢了！张三急得火烧眉毛，跑到衙门击鼓鸣冤。包公一拍惊堂木：""来人，把那头驴给我传来！""衙役们都懵了——大人，驴怎么传啊？包公嘿嘿一笑：""你们就等着看好戏。""——欲知后事如何？先喝口茶，且听下回分解。（醒木一拍）"
295,295_电台广告叫卖——热情男声,电台广告叫卖——热情男声,电台购物节目主持人,电台广告、电视购物,30–40岁,男,普通话，热情夸张,热情、亢奋、制造紧迫感,中速偏快，音量中高，促销时段更激昂,电视机前的朋友们！你们还在等什么？！原价998的XX多功能料理机，今天直播间只要——198！你没有听错！198！买一台送两套刀头、一个榨汁杯、一本食谱！全国包邮！七天无理由退货！今天下单前一百名还送价值128元的保温杯一个！现在拨打屏幕下方的电话——我数三个数——三、二、一——导播告诉我，已经进线两百多个了！再不打就没了！真的是亏本赚吆喝，错过这一波就只能等明年了！
296,296_哲学家独白——深邃男声,哲学家独白——深邃男声,哲学家 / 思想者,哲学纪录片、思想类内容,40–60岁,男,普通话，深邃有思辨感,深邃、追问、有存在主义色彩,慢速，音量中低，留白极多,"人这一辈子，到底在追求什么？年轻的时候追求快乐，中年的时候追求成功，老了以后追求平静。但你有没有想过——也许快乐、成功、平静都不是目的。它们只是副产品。真正的目的是——寻找意义。维克多·弗兰克尔在集中营里悟出了一个道理：人可以忍受任何苦难，只要他知道""为什么""。这个""为什么""，就是意义。它不在远方，不在未来。它就在此刻——在你决定认真对待这一秒的时候。"
297,297_流浪诗人——自由男声,流浪诗人——自由男声,流浪诗人 / 街头艺人,文艺短片、旅行纪录片,25–35岁,男,普通话，自由随性,自由、洒脱、有诗意,中速偏慢，音量适中，有风的质感,"我没有家。准确地说，整个世界都是我的家。我睡过大理的青旅，吃过拉萨的甜茶，听过丽江的手鼓，看过新疆的星空。有人说我是逃避现实，我觉得他们搞反了——他们才是在逃避，逃避一种更大的可能性。我写诗。不是为了出版，不是为了成名，是为了给每一个平凡的瞬间一个不平凡的名字。今天的日落叫""告别""，今晚的月亮叫""重逢""。你也可以给你的人生写一首诗——只要你愿意停下来，看一看天空。"
298,298_母亲哄睡——极致温柔女声,母亲哄睡——极致温柔女声,母亲,催眠音频、亲情短片,28–35岁,女,普通话，极致温柔，像在哼歌,温柔、安心、有母爱的光晕感,极慢，音量极低，像枕边摇篮曲,宝贝，闭上眼睛。妈妈在这里，哪儿也不去。外面的风很大，但房间是暖的。窗帘拉着，灯也关了，只有妈妈的声音。你今天跑了很多路，玩了很久，摔了一跤也哭了。但现在不用哭了。妈妈抱着你呢。你的小手抓着妈妈的衣角，这是你从小的习惯。放心睡吧。明天醒来，太阳还在，妈妈还在，玩具也还在。一切都在。晚安，我的小宝贝。妈妈爱你。一直爱你。
299,299_百岁老人——时间感女声,百岁老人——时间感女声,百岁老人,口述历史、长寿纪录,95–105岁,女,普通话，带方言底色，声音极苍老,平和、通透、看透世事,极慢，音量偏低，每句话都像在回忆,我今年一百零二了。经历的事太多了。我见过打仗，见过饥荒，也见过现在这样的好日子。以前觉得活到六十就不错了，没想到一晃就一百了。人活到我这个岁数啊，什么都看开了。争什么？抢什么？到头来都是一样的。我最喜欢做的事情就是坐在门口晒太阳。春天晒春天的太阳，秋天晒秋天的太阳。风来了就进屋，雨来了就听雨。日子嘛，不就是这样过的吗？你问我有什么秘诀？没有秘诀。不生气，早睡觉，多吃饭。就这些。
300,300_宇宙尽头的旁白——终极超然声,宇宙尽头的旁白——终极超然声,宇宙本身 / 时间的叙述者,哲学纪录片终章、宇宙纪录片结尾,N/A（超越年龄）,中性,普通话，超越人类的平静与宏大,超然、宏大、终极的宁静,极慢，音量中等，有宇宙般无边无际的空间感,"在最后一颗恒星熄灭之后，宇宙将进入漫长的黑暗。所有的星系、所有的行星、所有的生命——包括曾经仰望星空并追问""为什么""的那个物种——都将变成物理学方程式中的一行注脚。但在那之前的无数个世纪里，在一颗蓝色的小行星上，有人写过诗，有人唱过歌，有人在雨中拥抱过另一个灵魂。宇宙不会记得这些。但它发生过。在所有宏大叙事的尽头，这些微小的瞬间，才是唯一真正重要的事。因为它们短暂，所以珍贵。因为它们终将消逝，所以此刻——弥足珍贵。"
301,301_葡萄酒侍酒师——考究男声,葡萄酒侍酒师——考究男声,高级餐厅侍酒师,葡萄酒品牌、高端餐饮内容,30–45岁,男,普通话，考究精致，偶尔夹杂法语/意大利语酒名,考究、从容、有品鉴的仪式感,慢速，音量适中，描述风味时更细腻,这一款来自勃艮第的黑皮诺，2018年份。你看它的颜色——不是深邃的紫红，而是透亮的宝石红，像透过夕阳看一片红叶。先闻一下——有没有？红色浆果、紫罗兰、还有一丝若有若无的泥土气息。入口之后，单宁非常细腻，像丝绸划过舌尖。酸度恰到好处，让你的口腔保持清爽。尾韵很长，有樱桃和淡淡的香料。一款好的黑皮诺，就像一个有教养的人——不会一上来就给你所有，而是慢慢地、一层一层地展开。
302,302_拍卖师——节奏感男声,拍卖师——节奏感男声,拍卖师,拍卖会现场、艺术品交易纪录片,35–50岁,男,普通话，清晰有力，节奏感极强,掌控感、紧迫、制造竞价氛围,中速偏快，音量中高，竞价阶段越来越快,各位，接下来这件拍品——齐白石先生晚年精品，《虾趣图》，设色纸本立轴，尺寸68乘45厘米。起拍价——800万元。有没有人出价？800万——好，850万。900万。950万。1000万！已经过千万了。1100万。1200万。还有没有更高的？1200万一次。1200万两次。1200万——最后一次！——成交！恭喜38号买家。这件齐白石先生的佳作，归您了。
303,303_理发师——市井暖男声,理发师——市井暖男声,社区理发店师傅,市井生活短片、纪录片,35–55岁,男,普通话，略带方言，市井亲切感,热情、健谈、有烟火气,中速偏快，音量中等，聊起天来滔滔不绝,"来来来，坐！今天想怎么剪？修短一点？行，我看你这个刘海有点长了，挡眼睛。别动啊——咔嚓咔嚓。我干这行二十年了，从最早的路边摊到这个小店。那时候剪个头五块钱，现在涨到三十了。但手艺没变。你别看现在很多年轻人去什么""造型工作室""，花几百块钱剪个头，出来跟没剪似的。我就问你——这好看不？干干净净、利利索索。理发嘛，不就图个精神？"
304,304_纹身师——酷感男声,纹身师——酷感男声,纹身师,亚文化纪录片、纹身艺术内容,25–35岁,男,普通话，有态度，不装,专注、有艺术追求、表面冷内心热,中速，音量偏低，工作时更安静,每个人来纹身都有一个故事。有人纪念一段感情，有人纪念一个人，有人只是觉得好看。我不在意你的理由——我在意的是你坐在这里的时候，是不是真的想好了。因为这个东西，一辈子都跟着你。我不会催你，也不会劝你。你决定了，我就给你做到最好。这行干了八年，每一针下去我都不后悔。因为对我来说，这不是一份工作，是一门手艺。皮肤是最诚实的画布——它会跟着你的身体一起变老、一起呼吸。
305,305_街头小吃摊主——热络男声,街头小吃摊主——热络男声,夜市小吃摊老板,美食纪录片、市井生活内容,35–55岁,男,略带方言的普通话，接地气,热络、实在、有生活烟火气,中速偏快，音量中高，吆喝时更响,"哎帅哥美女！来尝尝！正宗长沙臭豆腐，闻着臭吃着香！一块钱一块，五块钱六块——多给一块是人情！你看这个外皮，炸得焦焦脆脆的，戳开里面嫩得流汁。配上我这个秘制辣椒酱——我跟你说，吃了第一口你就想第二口。这条街上的摊子你随便比，味道比我好的算我输。来来来，先尝一块不好吃不要钱！老板我做了十五年了，靠的就是回头客。吃了你就知道，什么叫""真材实料""。"
306,306_房产中介——精干男声,房产中介——精干男声,房产经纪人,房产类短视频、生活类内容,25–35岁,男,普通话，精干利落，有销售感,热情、专业、有说服力,中速偏快，音量适中，带看时更有感染力,哥，这套房子您一定要看看。南北通透，全明户型，客厅落地窗，采光没得说。您看这个厨房——U型设计，操作台面加起来将近四米，两个人同时做饭完全不打架。主卧带独立卫浴，还有一个步入式衣帽间。最关键的是——学区。这个片区对应的是市重点小学和省重点中学，步行十分钟都到。同户型上个月成交了一套，比这个贵了二十万。这个业主急售，价格有空间。哥，您要是感兴趣，咱今天就把意向签了——好房子不等人。
307,307_拟音师——有趣男声,拟音师——有趣男声,影视拟音师（Foley Artist）,影视幕后纪录片、声音艺术内容,30–50岁,男,普通话，生动有趣，边演示边讲解,有趣、专注、有手艺人的好奇心,中速，音量适中，演示音效时穿插拟声,"你知道电影里踩雪的声音是什么做的吗？不是真的踩雪——是用一袋玉米淀粉，放在一个皮口袋里，用手慢慢揉。（演示音效）听到没有？沙沙的、嘎吱嘎吱的。还有打耳光的声音——其实不是打脸，是打自己的大腿。（啪！）骨头断裂的声音呢？芹菜。对，就是超市里买的芹菜——一掰。（咔嚓！）你看，影视声音的世界就是这么神奇。观众听到的是真实，但所有的真实都是""伪造""的。我干这行二十年，每天都在跟日常用品""打架""。"
308,308_动物园饲养员——亲和男声,动物园饲养员——亲和男声,动物园饲养员,动物科普、动物园纪实,28–40岁,男,普通话，亲和有耐心,亲切、有爱心、对动物有深厚感情,中速，音量适中，提到动物时语气更柔,"很多人问我，你天天跟动物打交道，不危险吗？说实话，有些动物确实危险。但你跟它们相处久了，就知道它们的脾气了。这只大熊猫叫""圆圆""，脾气特别好，但挑食。苹果只吃脆的，竹子只吃嫩的。给它老竹子它看都不看一眼，还用屁股对着你表示抗议。最有成就感的是什么？是看到一个生病的动物被你照顾好了，又能跑能跳了。那种感觉——比什么奖金都实在。"
309,309_养蜂人——田园男声,养蜂人——田园男声,养蜂人,田园纪录片、蜂蜜品牌内容,40–60岁,男,普通话，有乡野的自然感,平和、质朴、对自然有敬畏,慢速，音量中等，有蜜蜂嗡嗡的背景感,养蜂这行，靠天吃饭。花开了才有蜜，下雨了蜜蜂就不出门。一年到头追着花期走——春天在四川看油菜花，夏天到甘肃看槐花，秋天去新疆看棉花。一年搬四五次家，比候鸟还忙。蜜蜂这东西很有意思，一只工蜂一辈子只能酿十二分之一茶匙的蜜。你算算，一瓶蜜是多少只蜜蜂一辈子的劳动？所以每次吃蜂蜜的时候我都会想——这不只是甜，是无数个小生命的全部。
310,310_陶艺师——质朴女声,陶艺师——质朴女声,陶艺师,手工艺纪录片、生活方式内容,30–45岁,女,普通话，质朴安静,安静、专注、有泥土的踏实感,慢速，音量轻柔，拉坯时更安静,"拉坯的时候，你不能想别的事情。你的手和泥之间，只隔着一层水。水多了，泥就塌了；水少了，泥就干了。你要找到那个""刚刚好""的感觉——不多不少，不急不缓。一个碗从泥团到成型，最快也要五分钟。但五分钟里，你的手一直在跟泥对话。烧出来以后，每一个碗都不一样。有些釉色是你无法预期的——窑变的惊喜，是泥土给你的回答。我喜欢这种""不完全可控""的感觉。生活也应该是这样。"
311,311_琉璃吹制师——震撼男声,琉璃吹制师——震撼男声,琉璃/玻璃吹制工匠,非遗纪录片、手工艺内容,35–55岁,男,普通话，有炉火旁的温度感,专注、有力量、对工艺的热爱,中速，音量中等，描述工艺时放慢,琉璃这个东西，温度是一切。料温1100度的时候取出来，流动性最好。你嘴对着吹管吹——不是蛮力，是控制气息。吹快了就薄了，吹慢了就塌了。一件好的琉璃作品，要经过几十次反复加热和塑形。最怕的是什么？是退火。降温太快，整件作品就碎了。所以我经常半夜两三点还在窑边守着，控制温度慢慢降。有时候一件作品做了三天，最后一步碎了。心疼吗？心疼。但这就是琉璃——它教你学会接受不完美。
312,312_修鞋匠——老派男声,修鞋匠——老派男声,街边修鞋匠,市井纪录片、匠人精神内容,50–70岁,男,略带方言的普通话，声音沧桑,质朴、平淡、有岁月沉淀,慢速，音量偏低，干活时自言自语,我修了四十年鞋。以前这条街上三个修鞋的，现在就剩我一个了。不是生意好，是其他两个改行了。现在年轻人鞋坏了就扔，买新的。但还是有人来找我——有位老太太每个月来补一次鞋底，那双鞋穿了十五年了，是她老伴生前买的。你说这双鞋值多少钱？不值钱。但她穿着它走路的时候，老伴好像还在身边。我修的不是鞋，修的是念想。
313,313_灯塔守护人——孤独男声,灯塔守护人——孤独男声,灯塔守护人,海事纪录片、孤独感短片,40–55岁,男,普通话，有海风和孤独的质感,孤独、坚毅、有与海对话的平静,慢速，音量偏低，像在对大海自言自语,我在这座灯塔上守了十二年。每天的工作就是擦灯、加油、记录天气、开关灯光。听起来简单，但你得每天重复。台风天最难过，整个塔都在晃，外面什么都看不见，只有海浪声。但我必须保证灯在亮着——因为海面上有船，船上有人。我的灯亮一晚上，就可能救一条命。这里没有网络，没有外卖，连个说话的人都没有。但我不觉得苦。大海是最好的听众——它从来不打断你。
314,314_钟表修理工——精密男声,钟表修理工——精密男声,老钟表修理工,匠人纪录片、怀旧内容,50–65岁,男,普通话，精密沉稳,沉稳、精密、对时间有敬畏,慢速，音量偏低，工作时更安静,修钟表这个活儿，最大的敌人是灰尘。一粒灰尘掉进齿轮里，一块表就停了。所以我工作台上永远是一尘不染的。我这双手，四十年前拿起了第一把螺丝刀，到现在还没放下。每块表打开以后，里面几百个零件，比一座微型城市还复杂。最难修的是游丝——比头发丝还细，一不小心就断了。有人说这行没前途了，年轻人都戴电子表了。但你摸摸一块老怀表的表壳，听听它嘀嗒嘀嗒的声音——那个温度，电子表给不了。
315,315_配音导演——专业女声,配音导演——专业女声,配音导演,配音幕后纪录片、声音行业内容,30–45岁,女,普通话，专业，有指导感,专业、有洞察力、善于引导,中速，音量适中，指导时语调变化丰富,"这一句台词，你的情绪太满了。角色此刻是在克制——她心里翻江倒海，但表面上只有微微一颤。你再试一遍，把声音压低两度，尾音收住，不要放出来。想象你站在一个满屋子人的宴会上，你微笑着，但眼泪在眼眶里打转——你不能让它掉下来。对，就是那种感觉。——好，这一条完美。配音演员最难的不是声音好听，是""控制""。知道什么时候放开，什么时候收住。差一分都不行。"
316,316_真实犯罪播客主播——沉着男声,真实犯罪播客主播——沉着男声,真实犯罪播客主持人,真实犯罪播客、悬疑内容,28–40岁,男,普通话，沉着冷静，有引导力,冷静、克制、制造悬念,中速，音量适中，关键线索处放慢,"2019年10月的一个深夜，杭州市某小区的监控摄像头拍下了一个画面——一名女子走进了电梯，按下了17楼的按钮。电梯门关上了。但当电梯到达17楼打开门的时候——里面空无一人。女子凭空消失了。警方调取了所有监控，排查了所有住户，搜索了整栋楼——没有任何线索。这个案件后来被称为""中国最诡异的失踪案""。今天我们来梳理这个案件的每一个细节。请注意听——因为有些答案，就藏在你忽略的地方。"
317,317_超自然调查员——紧张男声,超自然调查员——紧张男声,超自然现象调查员,灵异探秘播客、超自然纪录片,30–40岁,男,普通话，压低声音，有夜晚的紧迫感,紧张、警惕、半信半疑,中速偏慢，音量偏低（刻意控制），异常时更低,我们现在在安徽一座废弃的精神病院里。时间——凌晨两点十七分。录音设备已经开了，电磁场检测仪的读数一直在跳。这栋楼已经空了二十年了。据附近的居民说，每到深夜，三楼的窗户会亮灯。我们刚才上去看了——没有灯。但温度计显示，走廊尽头比其他地方低了六度。我现在把录音设备放在这个房间里，我们出去等一个小时。如果回来以后录音里出现了不属于我们的声音——那今晚就不虚此行了。
318,318_法医——理性女声,法医——理性女声,法医,法医纪录片、刑侦题材,30–45岁,女,普通话，极度理性冷静,理性、客观、不带感情色彩,中速，音量适中，专业术语清晰,死者为女性，年龄约35至40岁，身高162厘米。体表有明显的防御性伤口——左手前臂有三处切割伤，方向由外向内，符合格挡刀具的特征。致命伤位于左侧颈部，切口深度4.2厘米，切断了左侧颈动脉。根据伤口角度和深度分析，凶器为单刃刀具，刃长约15厘米。尸僵已完全缓解，结合直肠温度推算，死亡时间约为36至48小时前。胃内容物分析显示最后一餐为米饭和蔬菜，餐后约两小时死亡。以上为初步尸检报告。
319,319_刑警审讯员——压迫感男声,刑警审讯员——压迫感男声,刑警审讯员,刑侦题材影视、犯罪纪录片,35–50岁,男,普通话，有压迫感但不失控,冷静中带压迫，步步紧逼,偏慢，音量中等偏低，审讯关键时突然提高,张先生，我们聊聊。你刚才说你那天晚上在家看电视。对吧？（停顿）那你能告诉我，为什么你的手机信号那天晚上十点出现在了案发地点三公里以内？（沉默）别紧张，我没说你做了什么。我只是在问——你为什么出现在那里？（停顿）你的鞋底有红土，和案发现场的泥土成分一致。这也许只是巧合。但巧合太多了，就不是巧合了。（长久沉默）你有权保持沉默。但我劝你想清楚——现在说，和以后说，性质完全不一样。
320,320_法庭书记员——客观女声,法庭书记员——客观女声,法庭书记员,法庭题材影视、法律纪实,25–35岁,女,标准普通话，客观中性,客观、精准、不带个人情感,中速，音量适中，记录时均匀平稳,现在开庭。XX市中级人民法院刑事审判庭，今天依法公开审理被告人李某某涉嫌故意伤害一案。审判长XXX，审判员XXX、XXX，人民陪审员XXX、XXX。书记员XXX。公诉人XXX。被告人辩护律师XXX。——下面由公诉人宣读起诉书。——被告人李某某，你对起诉书指控的犯罪事实有无异议？——好。下面进入法庭调查阶段。请公诉人出示第一组证据。
321,321_脱口秀播客主持人——松弛男声,脱口秀播客主持人——松弛男声,脱口秀风格播客主理人,谈话类播客、喜剧内容,25–35岁,男,普通话，口语化，松弛自然,松弛、幽默、像跟朋友聊天,中速，音量适中，笑点处有停顿,"欢迎回来，这是""没什么正经事""播客。上期节目之后收到一条私信，说""你们能不能聊点有深度的""。好，今天我们就聊一个有深度的话题——你有没有发现，成年人的友谊全靠""改天约""三个字维持？我有一个朋友，去年说了四十七次""改天约吃饭""，一次都没约成。但我们的友谊非常稳固——因为我们都知道""改天""是一个永远不会到来的日期。它不是谎言，它是一种默契。一种成年人之间最高级的社交礼仪。"
322,322_情感咨询电台——知心姐姐声,情感咨询电台——知心姐姐声,情感咨询节目主持人,情感电台、心理咨询内容,30–40岁,女,普通话，温暖但有洞察力,温暖、共情、有引导力,中速偏慢，音量轻柔，倾听时更轻,"有一位听众来信说：""我男朋友最近总是加班到很晚，回来以后也不怎么跟我说话。我问他怎么了，他就说'没事'。我该怎么办？""——亲爱的，首先我想说，你的感受是真实的。当最亲近的人对你关上心门的时候，那种无力感真的很痛。但有时候""没事""不一定是敷衍——也许他真的不知道怎么开口。你可以试着不问""怎么了""，而是坐在他旁边，安静地陪着他。有时候，陪伴本身就是最好的沟通。给他一点时间，也给你自己一点耐心。"
323,323_商业案例分析播客——精英男声,商业案例分析播客——精英男声,商业分析播客主播,商业类播客、MBA案例分析,30–40岁,男,普通话，清晰有逻辑感，偶夹英文商业术语,理性、有洞察力、自信,中速，音量适中，逻辑推进时节奏清晰,"今天我们来拆解一个经典案例——为什么瑞幸咖啡能在两年内开出一万家门店？很多人说是因为""烧钱""。没错，补贴确实是一个因素，但更核心的原因是它的选址逻辑。瑞幸不选商场，选写字楼。为什么？因为写字楼里的白领，是咖啡消费的高频用户。一杯咖啡十八块，对他们来说不是消费决策，是日常习惯。瑞幸赌的不是""市场教育""，赌的是""已有需求的效率替代""。这两个词的区别，决定了商业模式的天花板。"
324,324_电影解说博主——故事感男声,电影解说博主——故事感男声,电影解说博主,短视频电影解说,25–35岁,男,普通话，有故事感和节奏感,引人入胜、有张力、悬念制造者,中速偏快，音量适中，高潮处放缓加重,"今天给大家讲一部被严重低估的韩国电影。男主是一个出租车司机，生活潦倒，欠了一屁股债。一天，他接到了一个奇怪的乘客——一个老头，穿着过时的西装，要去一个已经拆迁了的老地址。司机本来不想载，但老头出了一百万韩元。到了目的地，老头说了一句让所有人脊背发凉的话。他说——""谢谢你，四十年前也是你载的我。""故事到这里才刚刚开始。这个老头到底是谁？这部电影的结局，我敢说你猜不到。"
325,325_书评/文学评论——知性女声,书评/文学评论——知性女声,文学评论人 / 读书博主,书评播客、文学赏析内容,28–40岁,女,普通话，知性有深度,知性、有思辨力、对文学有热爱,中速偏慢，音量适中，引述原文时更轻更慢,"读完余华的《活着》，我整整一个下午没有说话。这本书的力量不在于它的悲剧有多惨烈——惨烈的故事太多了——而在于它的叙述方式。余华用一种近乎平淡的语调讲述一个人失去一切的过程。没有控诉，没有煽情。福贵说""我看着自己的田地被人牵走了""的时候，就像在说今天天气不错。正是这种克制，让你在读完最后一页的时候，发现自己早已泪流满面。最好的悲剧不是让你哭出来的，是让你哭完了都不知道什么时候开始哭的。"
